team,maps_played,wins_draws_lose,total_kills,total_death,k_d_ratio,team,name,total_kills_from_crew,headshots_from_crew,total_death_from_crew,k_d_ratio_from_crew,maps_played_from_crew,rating_2_0_from_crew,team,opponent,map_map,result,w_l
,,,,,,,,,,,,,,FORZE,VP.Prodigy,Nuke,13 - 4,W
,,,,,,,,,,,,,,FORZE,VP.Prodigy,Ancient,13 - 10,W
,,,,,,,,,,,,,,FORZE,PARIVISION,Ancient,11 - 13,L
,,,,,,,,,,,,,,FORZE,PARIVISION,Nuke,13 - 6,W
,,,,,,,,,,,,,,FORZE,PARIVISION,Mirage,11 - 13,L
,,,,,,,,,,,,,,FORZE,KOI,Nuke,7 - 13,L
,,,,,,,,,,,,,,FORZE,KOI,Inferno,8 - 13,L
,,,,,,,,,,,,,,FORZE,KOI,Overpass,13 - 3,W
,,,,,,,,,,,,,,FORZE,3DMAX,Nuke,13 - 11,W
,,,,,,,,,,,,,,FORZE,9 Pandas,Inferno,13 - 8,W
,,,,,,,,,,,,,,FORZE,9 Pandas,Anubis,13 - 2,W
,,,,,,,,,,,,,,FORZE,9 Pandas,Mirage,9 - 13,L
,,,,,,,,,,,,,,FORZE,Aurora,Nuke,13 - 9,W
,,,,,,,,,,,,,,FORZE,Aurora,Overpass,13 - 9,W
,,,,,,,,,,,,,,FORZE,ARCRED,Ancient,13 - 6,W
,,,,,,,,,,,,,,FORZE,RUBY,Overpass,13 - 6,W
,,,,,,,,,,,,,,FORZE,RUBY,Nuke,16 - 14,W
,,,,,,,,,,,,,,FORZE,RUBY,Ancient,11 - 13,L
,,,,,,,,,,,,,,FORZE,Espionage,Ancient,11 - 13,L
,,,,,,,,,,,,,,FORZE,Espionage,Inferno,4 - 13,L
,,,,,,,,,,,,,,FORZE,Espionage,Nuke,13 - 3,W
,,,,,,,,,,,,,,FORZE,GUN5,Anubis,13 - 8,W
,,,,,,,,,,,,,,FORZE,Aurora,Overpass,13 - 8,W
,,,,,,,,,,,,,,FORZE,Aurora,Mirage,13 - 9,W
,,,,,,,,,,,,,,FORZE,HEROIC,Anubis,9 - 13,L
,,,,,,,,,,,,,,FORZE,SAW,Overpass,13 - 6,W
,,,,,,,,,,,,,,FORZE,SAW,Ancient,13 - 16,L
,,,,,,,,,,,,,,FORZE,SAW,Nuke,13 - 9,W
,,,,,,,,,,,,,,FORZE,SINNERS,Inferno,13 - 4,W
,,,,,,,,,,,,,,FORZE,SINNERS,Mirage,13 - 9,W
,,,,,,,,,,,,,,FORZE,SINNERS,Ancient,6 - 13,L
,,,,,,,,,,,,,,FORZE,Spirit,Mirage,13 - 8,W
,,,,,,,,,,,,,,FORZE,Spirit,Nuke,13 - 7,W
,,,,,,,,,,,,,,FORZE,Space,Mirage,13 - 10,W
,,,,,,,,,,,,,,FORZE,Space,Nuke,13 - 7,W
,,,,,,,,,,,,,,FORZE,Preasy,Inferno,7 - 13,L
,,,,,,,,,,,,,,FORZE,Preasy,Nuke,10 - 13,L
,,,,,,,,,,,,,,FORZE,Anonymo,Mirage,13 - 6,W
,,,,,,,,,,,,,,FORZE,Anonymo,Overpass,13 - 10,W
,,,,,,,,,,,,,,FORZE,Apeks,Inferno,10 - 13,L
,,,,,,,,,,,,,,FORZE,Apeks,Mirage,13 - 16,L
,,,,,,,,,,,,,,FORZE,Sprout,Inferno,11 - 13,L
,,,,,,,,,,,,,,FORZE,Sprout,Ancient,7 - 13,L
,,,,,,,,,,,,,,FORZE,Space,Mirage,16 - 12,W
,,,,,,,,,,,,,,FORZE,Space,Nuke,13 - 7,W
,,,,,,,,,,,,,,FORZE,ENEIDA,Mirage,13 - 9,W
,,,,,,,,,,,,,,FORZE,ECSTATIC,Anubis,4 - 13,L
,,,,,,,,,,,,,,FORZE,ECSTATIC,Ancient,13 - 9,W
,,,,,,,,,,,,,,FORZE,ECSTATIC,Inferno,8 - 13,L
,,,,,,,,,,,,,,FORZE,EYEBALLERS,Mirage,11 - 13,L
,,,,,,,,,,,,,,FORZE,EYEBALLERS,Nuke,13 - 8,W
,,,,,,,,,,,,,,FORZE,EYEBALLERS,Inferno,9 - 13,L
,,,,,,,,,,,,,,FORZE,SAW,Anubis,13 - 2,W
,,,,,,,,,,,,,,FORZE,SAW,Nuke,13 - 11,W
,,,,,,,,,,,,,,FORZE,SAW,Ancient,10 - 13,L
,,,,,,,,,,,,,,FORZE,Movistar Riders,Anubis,13 - 11,W
,,,,,,,,,,,,,,FORZE,Movistar Riders,Nuke,14 - 16,L
,,,,,,,,,,,,,,FORZE,Movistar Riders,Ancient,13 - 9,W
,,,,,,,,,,,,,,FORZE,EYEBALLERS,Mirage,6 - 13,L
,,,,,,,,,,,,,,FORZE,EYEBALLERS,Inferno,6 - 13,L
,,,,,,,,,,,,,,FORZE,EYEBALLERS,Nuke,13 - 6,W
,,,,,,,,,,,,,,FORZE,Preasy,Ancient,10 - 13,L
,,,,,,,,,,,,,,FORZE,Preasy,Nuke,13 - 8,W
,,,,,,,,,,,,,,FORZE,Preasy,Inferno,4 - 13,L
,,,,,,,,,,,,,,FORZE,Nexus,Nuke,13 - 5,W
,,,,,,,,,,,,,,FORZE,Nexus,Mirage,13 - 1,W
,,,,,,,,,,,,,,FORZE,Preasy,Inferno,12 - 16,L
,,,,,,,,,,,,,,FORZE,Preasy,Anubis,10 - 13,L
,,,,,,,,,,,,,,FORZE,9 Pandas,Anubis,13 - 9,W
,,,,,,,,,,,,,,FORZE,9 Pandas,Nuke,13 - 8,W
,,,,,,,,,,,,,,FORZE,PARIVISION,Nuke,13 - 9,W
,,,,,,,,,,,,,,FORZE,PARIVISION,Mirage,16 - 13,W
,,,,,,,,,,,,,,FORZE,Metizport,Ancient,5 - 13,L
,,,,,,,,,,,,,,FORZE,Metizport,Overpass,10 - 13,L
,,,,,,,,,,,,,,FORZE,Metizport,Nuke,13 - 4,W
,,,,,,,,,,,,,,Zero Tenacity,JANO,Anubis,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,MOUZ NXT,Vertigo,5 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Nemiga,Anubis,2 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,ECLOT,Vertigo,13 - 3,W
,,,,,,,,,,,,,,Zero Tenacity,Nemiga,Nuke,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,AMKAL,Inferno,17 - 19,L
,,,,,,,,,,,,,,Zero Tenacity,Secret,Inferno,13 - 8,W
,,,,,,,,,,,,,,Zero Tenacity,Espionage,Vertigo,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,500,Mirage,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,NAVI Junior,Anubis,13 - 5,W
,,,,,,,,,,,,,,Zero Tenacity,3DMAX,Inferno,7 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Permitta,Vertigo,13 - 4,W
,,,,,,,,,,,,,,Zero Tenacity,Aurora Young Blud,Overpass,6 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,samaloyod,Overpass,16 - 14,W
,,,,,,,,,,,,,,Zero Tenacity,ECLOT,Anubis,13 - 6,W
,,,,,,,,,,,,,,Zero Tenacity,Gucci Academy,Anubis,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,REAL MADRID,Nuke,13 - 8,W
,,,,,,,,,,,,,,Zero Tenacity,MOUZ NXT,Nuke,13 - 6,W
,,,,,,,,,,,,,,Zero Tenacity,TSM,Inferno,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,TSM,Overpass,3 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Sprout,Vertigo,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Legacy,Overpass,13 - 11,W
,,,,,,,,,,,,,,Zero Tenacity,Illyrians,Overpass,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,sYnck,Inferno,6 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Lazer Cats,Inferno,16 - 12,W
,,,,,,,,,,,,,,Zero Tenacity,Pompa,Nuke,13 - 8,W
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Anubis,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,FORZE,Mirage,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Pompa,Overpass,11 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,ENCE Academy,Mirage,13 - 9,W
,,,,,,,,,,,,,,Zero Tenacity,ENCE Academy,Inferno,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Espionage,Inferno,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,JANO,Anubis,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,JANO,Inferno,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,MOUZ NXT,Vertigo,5 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,MOUZ NXT,Anubis,7 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Nemiga,Anubis,2 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Nemiga,Vertigo,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,ECLOT,Vertigo,13 - 3,W
,,,,,,,,,,,,,,Zero Tenacity,ECLOT,Overpass,13 - 5,W
,,,,,,,,,,,,,,Zero Tenacity,Nemiga,Nuke,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Nemiga,Vertigo,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Nemiga,Anubis,13 - 6,W
,,,,,,,,,,,,,,Zero Tenacity,AMKAL,Inferno,17 - 19,L
,,,,,,,,,,,,,,Zero Tenacity,Secret,Inferno,13 - 8,W
,,,,,,,,,,,,,,Zero Tenacity,Secret,Anubis,13 - 2,W
,,,,,,,,,,,,,,Zero Tenacity,Espionage,Vertigo,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Espionage,Nuke,20 - 22,L
,,,,,,,,,,,,,,Zero Tenacity,500,Mirage,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,500,Overpass,6 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,500,Nuke,13 - 6,W
,,,,,,,,,,,,,,Zero Tenacity,NAVI Junior,Anubis,13 - 5,W
,,,,,,,,,,,,,,Zero Tenacity,3DMAX,Inferno,7 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,3DMAX,Anubis,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Permitta,Vertigo,13 - 4,W
,,,,,,,,,,,,,,Zero Tenacity,Aurora Young Blud,Overpass,6 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Aurora Young Blud,Anubis,13 - 9,W
,,,,,,,,,,,,,,Zero Tenacity,Aurora Young Blud,Vertigo,5 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,samaloyod,Overpass,16 - 14,W
,,,,,,,,,,,,,,Zero Tenacity,ECLOT,Anubis,13 - 6,W
,,,,,,,,,,,,,,Zero Tenacity,ECLOT,Mirage,13 - 3,W
,,,,,,,,,,,,,,Zero Tenacity,Gucci Academy,Anubis,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,REAL MADRID,Nuke,13 - 8,W
,,,,,,,,,,,,,,Zero Tenacity,MOUZ NXT,Nuke,13 - 6,W
,,,,,,,,,,,,,,Zero Tenacity,MOUZ NXT,Anubis,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,TSM,Inferno,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,TSM,Overpass,17 - 19,L
,,,,,,,,,,,,,,Zero Tenacity,TSM,Overpass,3 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,TSM,Vertigo,11 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Sprout,Vertigo,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Sprout,Anubis,13 - 4,W
,,,,,,,,,,,,,,Zero Tenacity,Sprout,Overpass,14 - 16,L
,,,,,,,,,,,,,,Zero Tenacity,Legacy,Overpass,13 - 11,W
,,,,,,,,,,,,,,Zero Tenacity,Legacy,Anubis,13 - 11,W
,,,,,,,,,,,,,,Zero Tenacity,Illyrians,Overpass,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,Illyrians,Anubis,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Illyrians,Inferno,13 - 9,W
,,,,,,,,,,,,,,Zero Tenacity,sYnck,Inferno,6 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,sYnck,Anubis,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,sYnck,Mirage,13 - 9,W
,,,,,,,,,,,,,,Zero Tenacity,Lazer Cats,Inferno,16 - 12,W
,,,,,,,,,,,,,,Zero Tenacity,Lazer Cats,Mirage,16 - 14,W
,,,,,,,,,,,,,,Zero Tenacity,Pompa,Nuke,13 - 8,W
,,,,,,,,,,,,,,Zero Tenacity,Pompa,Mirage,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Pompa,Anubis,13 - 5,W
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Anubis,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Vertigo,13 - 10,W
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Mirage,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,FORZE,Mirage,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,FORZE,Nuke,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,FORZE,Inferno,13 - 9,W
,,,,,,,,,,,,,,Zero Tenacity,Pompa,Overpass,11 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Pompa,Nuke,7 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Pompa,Inferno,13 - 11,W
,,,,,,,,,,,,,,Zero Tenacity,ENCE Academy,Mirage,13 - 9,W
,,,,,,,,,,,,,,Zero Tenacity,ENCE Academy,Vertigo,13 - 11,W
,,,,,,,,,,,,,,Zero Tenacity,ENCE Academy,Inferno,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,ENCE Academy,Mirage,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,ENCE Academy,Vertigo,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,Espionage,Inferno,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Espionage,Nuke,5 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Alliance,Inferno,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,ex-Preasy,Anubis,7 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,CYBERSHOKE,Nuke,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Nuke,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,GODSENT,Vertigo,19 - 17,W
,,,,,,,,,,,,,,Zero Tenacity,Secret,Anubis,13 - 8,W
,,,,,,,,,,,,,,Zero Tenacity,Young Ninjas,Mirage,13 - 4,W
,,,,,,,,,,,,,,Zero Tenacity,Sampi,Mirage,6 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,The Chosen Few,Anubis,13 - 11,W
,,,,,,,,,,,,,,Zero Tenacity,Juggernauts,Vertigo,13 - 2,W
,,,,,,,,,,,,,,Zero Tenacity,SAW,Nuke,11 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,BetBoom,Overpass,6 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Passion UA,Mirage,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,premghouls,Anubis,13 - 8,W
,,,,,,,,,,,,,,Zero Tenacity,Astralis Talent,Overpass,4 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,9INE,Nuke,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,ALTERNATE aTTaX,Overpass,11 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,GenOne,Inferno,13 - 0,W
,,,,,,,,,,,,,,Zero Tenacity,SAW,Anubis,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,VERTEX,Overpass,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,BIG,Vertigo,7 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Guild Eagles,Anubis,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Guild Eagles,Vertigo,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Amigosi,Anubis,13 - 2,W
,,,,,,,,,,,,,,Zero Tenacity,JANO,Mirage,13 - 9,W
,,,,,,,,,,,,,,Zero Tenacity,sYnck,Nuke,4 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,The Suspect,Inferno,16 - 14,W
,,,,,,,,,,,,,,Zero Tenacity,Spirit Academy,Vertigo,13 - 10,W
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Anubis,13 - 4,W
,,,,,,,,,,,,,,Zero Tenacity,ex-RAPTORS EC,Anubis,13 - 5,W
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Vertigo,13 - 8,W
,,,,,,,,,,,,,,Zero Tenacity,Permitta,Vertigo,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,Alliance,Inferno,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Alliance,Anubis,7 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,ex-Preasy,Anubis,7 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,ex-Preasy,Inferno,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,CYBERSHOKE,Nuke,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,CYBERSHOKE,Anubis,9 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,CYBERSHOKE,Mirage,13 - 5,W
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Nuke,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Anubis,13 - 10,W
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Overpass,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,GODSENT,Vertigo,19 - 17,W
,,,,,,,,,,,,,,Zero Tenacity,GODSENT,Overpass,5 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,GODSENT,Nuke,13 - 11,W
,,,,,,,,,,,,,,Zero Tenacity,Secret,Anubis,13 - 8,W
,,,,,,,,,,,,,,Zero Tenacity,Secret,Inferno,13 - 8,W
,,,,,,,,,,,,,,Zero Tenacity,Young Ninjas,Mirage,13 - 4,W
,,,,,,,,,,,,,,Zero Tenacity,Young Ninjas,Anubis,13 - 9,W
,,,,,,,,,,,,,,Zero Tenacity,Young Ninjas,Overpass,4 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Sampi,Mirage,6 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Sampi,Anubis,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,The Chosen Few,Anubis,13 - 11,W
,,,,,,,,,,,,,,Zero Tenacity,The Chosen Few,Overpass,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,Juggernauts,Vertigo,13 - 2,W
,,,,,,,,,,,,,,Zero Tenacity,SAW,Nuke,11 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,BetBoom,Overpass,6 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Passion UA,Mirage,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,Passion UA,Anubis,16 - 13,W
,,,,,,,,,,,,,,Zero Tenacity,premghouls,Anubis,13 - 8,W
,,,,,,,,,,,,,,Zero Tenacity,Astralis Talent,Overpass,4 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Astralis Talent,Nuke,13 - 3,W
,,,,,,,,,,,,,,Zero Tenacity,Astralis Talent,Vertigo,17 - 19,L
,,,,,,,,,,,,,,Zero Tenacity,9INE,Nuke,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,ALTERNATE aTTaX,Overpass,11 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,ALTERNATE aTTaX,Anubis,11 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,GenOne,Inferno,13 - 0,W
,,,,,,,,,,,,,,Zero Tenacity,GenOne,Anubis,13 - 9,W
,,,,,,,,,,,,,,Zero Tenacity,GenOne,Nuke,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,SAW,Anubis,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,SAW,Vertigo,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,VERTEX,Overpass,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,VERTEX,Nuke,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,BIG,Vertigo,7 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,BIG,Anubis,11 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Guild Eagles,Anubis,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Guild Eagles,Mirage,11 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Guild Eagles,Vertigo,8 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Guild Eagles,Anubis,16 - 13,W
,,,,,,,,,,,,,,Zero Tenacity,Guild Eagles,Mirage,1 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Amigosi,Anubis,13 - 2,W
,,,,,,,,,,,,,,Zero Tenacity,Amigosi,Mirage,13 - 6,W
,,,,,,,,,,,,,,Zero Tenacity,JANO,Mirage,13 - 9,W
,,,,,,,,,,,,,,Zero Tenacity,JANO,Anubis,13 - 4,W
,,,,,,,,,,,,,,Zero Tenacity,sYnck,Nuke,4 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,sYnck,Mirage,11 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,sYnck,Anubis,13 - 10,W
,,,,,,,,,,,,,,Zero Tenacity,The Suspect,Inferno,16 - 14,W
,,,,,,,,,,,,,,Zero Tenacity,The Suspect,Vertigo,11 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,The Suspect,Anubis,13 - 4,W
,,,,,,,,,,,,,,Zero Tenacity,The Suspect,Mirage,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,The Suspect,Nuke,13 - 4,W
,,,,,,,,,,,,,,Zero Tenacity,Spirit Academy,Vertigo,13 - 10,W
,,,,,,,,,,,,,,Zero Tenacity,Spirit Academy,Nuke,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,Spirit Academy,Mirage,6 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Anubis,13 - 4,W
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Vertigo,16 - 13,W
,,,,,,,,,,,,,,Zero Tenacity,ex-RAPTORS EC,Anubis,13 - 5,W
,,,,,,,,,,,,,,Zero Tenacity,ex-RAPTORS EC,Inferno,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Vertigo,13 - 8,W
,,,,,,,,,,,,,,Zero Tenacity,Sangal,Mirage,13 - 11,W
,,,,,,,,,,,,,,Zero Tenacity,Permitta,Vertigo,13 - 7,W
,,,,,,,,,,,,,,Zero Tenacity,Permitta,Anubis,10 - 13,L
,,,,,,,,,,,,,,Zero Tenacity,Permitta,Mirage,19 - 16,W
,,,,,,,,,,,,,,Anonymo,JANO,Ancient,12 - 16,L
,,,,,,,,,,,,,,Anonymo,OG,Mirage,8 - 13,L
,,,,,,,,,,,,,,Anonymo,Lausanne SE,Vertigo,13 - 7,W
,,,,,,,,,,,,,,Anonymo,Betera,Ancient,13 - 8,W
,,,,,,,,,,,,,,Anonymo,ENEIDA,Inferno,9 - 13,L
,,,,,,,,,,,,,,Anonymo,NAVI Junior,Ancient,13 - 2,W
,,,,,,,,,,,,,,Anonymo,Espionage,Nuke,13 - 6,W
,,,,,,,,,,,,,,Anonymo,Guild Eagles,Mirage,4 - 13,L
,,,,,,,,,,,,,,Anonymo,GODSENT,Inferno,13 - 5,W
,,,,,,,,,,,,,,Anonymo,Into the Breach,Ancient,13 - 8,W
,,,,,,,,,,,,,,Anonymo,Sprout,Inferno,11 - 13,L
,,,,,,,,,,,,,,Anonymo,9INE,Mirage,8 - 13,L
,,,,,,,,,,,,,,Anonymo,Into the Breach,Overpass,6 - 13,L
,,,,,,,,,,,,,,Anonymo,AGO,Inferno,11 - 13,L
,,,,,,,,,,,,,,Anonymo,PGE Turow,Inferno,17 - 19,L
,,,,,,,,,,,,,,Anonymo,PACT,Ancient,13 - 8,W
,,,,,,,,,,,,,,Anonymo,Metizport,Ancient,11 - 13,L
,,,,,,,,,,,,,,Anonymo,Sampi,Nuke,7 - 13,L
,,,,,,,,,,,,,,Anonymo,PGE Turow,Vertigo,13 - 10,W
,,,,,,,,,,,,,,Anonymo,sYnck,Nuke,13 - 7,W
,,,,,,,,,,,,,,Anonymo,Wildcard,Mirage,13 - 5,W
,,,,,,,,,,,,,,Anonymo,Permitta,Ancient,13 - 4,W
,,,,,,,,,,,,,,Anonymo,BIG Academy,Vertigo,9 - 13,L
,,,,,,,,,,,,,,Anonymo,The Chosen Few,Overpass,13 - 11,W
,,,,,,,,,,,,,,Anonymo,Preasy,Ancient,13 - 6,W
,,,,,,,,,,,,,,Anonymo,ALTERNATE aTTaX,Ancient,13 - 8,W
,,,,,,,,,,,,,,Anonymo,AGO,Inferno,13 - 10,W
,,,,,,,,,,,,,,Anonymo,OG,Nuke,16 - 14,W
,,,,,,,,,,,,,,Anonymo,Preasy,Vertigo,8 - 13,L
,,,,,,,,,,,,,,Anonymo,ECSTATIC,Vertigo,4 - 13,L
,,,,,,,,,,,,,,Anonymo,MOUZ NXT,Overpass,8 - 13,L
,,,,,,,,,,,,,,Anonymo,Permitta,Nuke,13 - 2,W
,,,,,,,,,,,,,,Anonymo,JANO,Ancient,12 - 16,L
,,,,,,,,,,,,,,Anonymo,OG,Mirage,8 - 13,L
,,,,,,,,,,,,,,Anonymo,OG,Vertigo,6 - 13,L
,,,,,,,,,,,,,,Anonymo,Lausanne SE,Vertigo,13 - 7,W
,,,,,,,,,,,,,,Anonymo,Betera,Ancient,13 - 8,W
,,,,,,,,,,,,,,Anonymo,ENEIDA,Inferno,9 - 13,L
,,,,,,,,,,,,,,Anonymo,NAVI Junior,Ancient,13 - 2,W
,,,,,,,,,,,,,,Anonymo,NAVI Junior,Overpass,16 - 13,W
,,,,,,,,,,,,,,Anonymo,Espionage,Nuke,13 - 6,W
,,,,,,,,,,,,,,Anonymo,Espionage,Overpass,8 - 13,L
,,,,,,,,,,,,,,Anonymo,Espionage,Mirage,13 - 3,W
,,,,,,,,,,,,,,Anonymo,Guild Eagles,Mirage,4 - 13,L
,,,,,,,,,,,,,,Anonymo,Guild Eagles,Inferno,7 - 13,L
,,,,,,,,,,,,,,Anonymo,GODSENT,Inferno,13 - 5,W
,,,,,,,,,,,,,,Anonymo,GODSENT,Overpass,16 - 13,W
,,,,,,,,,,,,,,Anonymo,Into the Breach,Ancient,13 - 8,W
,,,,,,,,,,,,,,Anonymo,Into the Breach,Mirage,5 - 13,L
,,,,,,,,,,,,,,Anonymo,Into the Breach,Overpass,13 - 9,W
,,,,,,,,,,,,,,Anonymo,Sprout,Inferno,11 - 13,L
,,,,,,,,,,,,,,Anonymo,Sprout,Overpass,4 - 13,L
,,,,,,,,,,,,,,Anonymo,9INE,Mirage,8 - 13,L
,,,,,,,,,,,,,,Anonymo,9INE,Ancient,9 - 13,L
,,,,,,,,,,,,,,Anonymo,Into the Breach,Overpass,6 - 13,L
,,,,,,,,,,,,,,Anonymo,Into the Breach,Vertigo,10 - 13,L
,,,,,,,,,,,,,,Anonymo,AGO,Inferno,11 - 13,L
,,,,,,,,,,,,,,Anonymo,AGO,Overpass,6 - 13,L
,,,,,,,,,,,,,,Anonymo,AGO,Mirage,13 - 2,W
,,,,,,,,,,,,,,Anonymo,PGE Turow,Inferno,17 - 19,L
